State,Substate Region,12-17 Estimate,"12-17 
95% CI (Lower)","12-17 
95% CI (Upper)",18-25 Estimate,"18-25 
95% CI (Lower)","18-25 
95% CI (Upper)",26 or Older Estimate,26 or Older 95% CI (Lower),26 or Older 95% CI (Upper),18 or Older Estimate,18 or Older 95% CI (Lower),18 or Older 95% CI (Upper)
Total United States,Total United States,0.61%,0.53%,0.71%,5.17%,4.89%,5.47%,1.38%,1.29%,1.47%,1.92%,1.84%,2.01%
Northeast,Northeast,0.60%,0.48%,0.76%,6.17%,5.65%,6.74%,1.79%,1.58%,2.02%,2.40%,2.20%,2.62%
Midwest,Midwest,0.52%,0.42%,0.66%,4.23%,3.84%,4.64%,1.07%,0.93%,1.22%,1.52%,1.39%,1.67%
South,South,0.49%,0.39%,0.61%,4.39%,4.05%,4.75%,1.19%,1.06%,1.33%,1.64%,1.52%,1.77%
West,West,0.89%,0.70%,1.13%,6.48%,5.92%,7.09%,1.66%,1.47%,1.87%,2.37%,2.18%,2.57%
Alabama,Alabama,0.33%,0.19%,0.57%,3.12%,2.23%,4.35%,0.97%,0.64%,1.46%,1.27%,0.91%,1.79%
Alabama,Region 1,0.44%,0.23%,0.82%,2.71%,1.62%,4.51%,0.65%,0.35%,1.19%,0.91%,0.55%,1.52%
Alabama,Region 2,0.31%,0.16%,0.60%,4.59%,2.88%,7.24%,1.35%,0.78%,2.35%,1.83%,1.15%,2.89%
Alabama,Region 3,*,*,*,2.21%,1.22%,3.96%,0.96%,0.51%,1.81%,1.17%,0.67%,2.06%
Alabama,Region 4,*,*,*,2.22%,1.24%,3.97%,0.83%,0.43%,1.59%,1.01%,0.57%,1.81%
Alaska,Alaska,0.76%,0.47%,1.21%,5.79%,4.43%,7.55%,1.64%,1.19%,2.26%,2.29%,1.78%,2.95%
Alaska,Anchorage,0.63%,0.36%,1.08%,6.76%,4.75%,9.53%,1.77%,1.17%,2.67%,2.56%,1.85%,3.53%
Alaska,Northern,0.74%,0.41%,1.34%,3.72%,2.23%,6.14%,1.46%,0.85%,2.48%,1.87%,1.18%,2.95%
Alaska,South Central,0.93%,0.52%,1.65%,6.44%,4.03%,10.14%,1.69%,1.02%,2.79%,2.37%,1.53%,3.64%
Alaska,Southeast,*,*,*,*,*,*,1.38%,0.76%,2.48%,1.91%,1.13%,3.21%
Arizona,Arizona,0.97%,0.60%,1.54%,6.14%,4.73%,7.94%,1.67%,1.20%,2.30%,2.32%,1.80%,2.98%
Arizona,Central,0.93%,0.55%,1.55%,6.07%,4.41%,8.30%,1.59%,1.07%,2.34%,2.24%,1.65%,3.04%
Arizona,North,*,*,*,6.36%,3.76%,10.56%,1.66%,0.92%,2.99%,2.31%,1.39%,3.81%
Arizona,South,0.99%,0.58%,1.68%,6.20%,4.17%,9.13%,1.84%,1.17%,2.87%,2.48%,1.70%,3.61%
Arizona,South A,1.01%,0.55%,1.87%,7.85%,4.92%,12.31%,2.21%,1.30%,3.73%,3.03%,1.94%,4.71%
Arizona,South B,0.97%,0.53%,1.76%,4.21%,2.33%,7.49%,1.38%,0.74%,2.54%,1.80%,1.04%,3.11%
Arkansas,Arkansas,0.45%,0.27%,0.74%,3.00%,2.12%,4.22%,0.90%,0.61%,1.33%,1.20%,0.86%,1.68%
Arkansas,Catchment Area 1,*,*,*,2.99%,1.64%,5.42%,0.74%,0.39%,1.40%,1.10%,0.63%,1.92%
Arkansas,Catchment Area 2,*,*,*,2.81%,1.51%,5.16%,0.64%,0.32%,1.28%,0.91%,0.50%,1.66%
Arkansas,Catchment Area 3,*,*,*,2.28%,1.25%,4.14%,0.93%,0.49%,1.75%,1.13%,0.63%,2.00%
Arkansas,Catchment Area 4,*,*,*,2.59%,1.37%,4.86%,0.71%,0.37%,1.36%,0.97%,0.54%,1.74%
Arkansas,Catchment Area 5,*,*,*,3.37%,1.90%,5.90%,0.90%,0.48%,1.69%,1.30%,0.75%,2.24%
Arkansas,Catchment Area 6,*,*,*,*,*,*,1.25%,0.64%,2.42%,1.37%,0.74%,2.53%
Arkansas,Catchment Area 7,*,*,*,*,*,*,*,*,*,1.11%,0.59%,2.10%
Arkansas,Catchment Area 8,*,*,*,4.05%,2.32%,6.97%,1.15%,0.64%,2.05%,1.53%,0.91%,2.55%
California,California,0.91%,0.66%,1.26%,7.12%,6.26%,8.10%,1.79%,1.51%,2.13%,2.59%,2.30%,2.93%
California,Region 1R,1.37%,0.81%,2.30%,*,*,*,1.75%,1.04%,2.93%,2.59%,1.65%,4.04%
California,Region 2R,1.08%,0.66%,1.76%,*,*,*,1.48%,0.91%,2.41%,2.62%,1.73%,3.96%
California,Region 3R (Sacramento),0.70%,0.43%,1.16%,6.16%,3.94%,9.52%,1.71%,1.06%,2.74%,2.36%,1.56%,3.56%
California,Region 4R,0.82%,0.50%,1.35%,*,*,*,1.57%,0.96%,2.55%,2.47%,1.62%,3.74%
California,Region 5R (San Francisco),*,*,*,*,*,*,4.65%,2.95%,7.25%,5.57%,3.72%,8.26%
California,Region 6 (Santa Clara),0.84%,0.47%,1.47%,6.24%,4.04%,9.54%,1.11%,0.69%,1.78%,1.77%,1.19%,2.63%
California,Region 7R (Contra Costa),*,*,*,8.49%,5.49%,12.91%,1.50%,0.91%,2.47%,2.42%,1.60%,3.66%
