State,Substate Region,12-17 Estimate,"12-17 
95% CI (Lower)","12-17 
95% CI (Upper)",18-25 Estimate,"18-25 
95% CI (Lower)","18-25 
95% CI (Upper)",26 or Older Estimate,26 or Older 95% CI (Lower),26 or Older 95% CI (Upper),18 or Older Estimate,18 or Older 95% CI (Lower),18 or Older 95% CI (Upper)
Total United States,Total United States,0.08%,0.06%,0.12%,0.68%,0.59%,0.79%,0.31%,0.27%,0.35%,0.36%,0.33%,0.40%
Northeast,Northeast,0.10%,0.06%,0.16%,0.95%,0.77%,1.17%,0.51%,0.41%,0.64%,0.57%,0.47%,0.69%
Midwest,Midwest,0.08%,0.05%,0.13%,0.67%,0.54%,0.82%,0.28%,0.22%,0.37%,0.34%,0.27%,0.42%
South,South,0.07%,0.05%,0.11%,0.61%,0.51%,0.73%,0.25%,0.19%,0.32%,0.30%,0.24%,0.36%
West,West,0.09%,0.05%,0.15%,0.61%,0.48%,0.76%,0.27%,0.20%,0.36%,0.32%,0.25%,0.40%
Alabama,Alabama,0.06%,0.03%,0.14%,0.66%,0.37%,1.18%,0.24%,0.12%,0.47%,0.30%,0.17%,0.55%
Alabama,Region 1,*,*,*,0.78%,0.39%,1.56%,0.23%,0.11%,0.51%,0.30%,0.15%,0.59%
Alabama,Region 2,*,*,*,0.66%,0.33%,1.33%,0.27%,0.12%,0.59%,0.32%,0.16%,0.64%
Alabama,Region 3,*,*,*,0.50%,0.24%,1.04%,0.24%,0.10%,0.57%,0.29%,0.14%,0.60%
Alabama,Region 4,*,*,*,0.70%,0.34%,1.42%,0.22%,0.09%,0.49%,0.28%,0.14%,0.56%
Alaska,Alaska,0.15%,0.05%,0.40%,1.61%,1.00%,2.58%,0.75%,0.43%,1.29%,0.88%,0.55%,1.40%
Alaska,Anchorage,*,*,*,1.45%,0.83%,2.52%,0.81%,0.43%,1.52%,0.91%,0.54%,1.55%
Alaska,Northern,*,*,*,1.20%,0.63%,2.30%,0.68%,0.33%,1.38%,0.77%,0.42%,1.41%
Alaska,South Central,*,*,*,2.17%,1.18%,3.95%,0.69%,0.35%,1.36%,0.90%,0.52%,1.56%
Alaska,Southeast,*,*,*,*,*,*,0.78%,0.37%,1.64%,0.94%,0.50%,1.76%
Arizona,Arizona,0.12%,0.05%,0.29%,1.02%,0.60%,1.73%,0.48%,0.27%,0.85%,0.56%,0.34%,0.92%
Arizona,Central,0.13%,0.05%,0.35%,0.85%,0.46%,1.59%,0.50%,0.27%,0.95%,0.55%,0.32%,0.97%
Arizona,North,*,*,*,*,*,*,0.47%,0.22%,1.02%,0.58%,0.30%,1.13%
Arizona,South,*,*,*,1.28%,0.69%,2.34%,0.43%,0.21%,0.85%,0.55%,0.31%,0.99%
Arizona,South A,*,*,*,1.28%,0.65%,2.51%,0.47%,0.22%,1.00%,0.59%,0.31%,1.11%
Arizona,South B,*,*,*,*,*,*,*,*,*,0.51%,0.26%,0.99%
Arkansas,Arkansas,0.06%,0.03%,0.13%,0.43%,0.21%,0.89%,0.17%,0.07%,0.38%,0.21%,0.10%,0.43%
Arkansas,Catchment Area 1,*,*,*,*,*,*,*,*,*,0.17%,0.07%,0.39%
Arkansas,Catchment Area 2,*,*,*,0.56%,0.23%,1.33%,*,*,*,0.20%,0.08%,0.46%
Arkansas,Catchment Area 3,*,*,*,*,*,*,*,*,*,0.21%,0.09%,0.49%
Arkansas,Catchment Area 4,*,*,*,*,*,*,*,*,*,*,*,*
Arkansas,Catchment Area 5,*,*,*,*,*,*,*,*,*,0.24%,0.11%,0.55%
Arkansas,Catchment Area 6,*,*,*,*,*,*,*,*,*,*,*,*
Arkansas,Catchment Area 7,*,*,*,*,*,*,*,*,*,*,*,*
Arkansas,Catchment Area 8,*,*,*,*,*,*,0.19%,0.07%,0.49%,0.22%,0.09%,0.51%
California,California,0.08%,0.04%,0.18%,0.43%,0.28%,0.66%,0.19%,0.11%,0.31%,0.22%,0.14%,0.35%
California,Region 1R,*,*,*,0.85%,0.45%,1.62%,*,*,*,0.33%,0.18%,0.58%
California,Region 2R,*,*,*,*,*,*,*,*,*,0.24%,0.13%,0.43%
California,Region 3R (Sacramento),*,*,*,*,*,*,0.16%,0.07%,0.34%,0.20%,0.11%,0.37%
California,Region 4R,*,*,*,*,*,*,0.18%,0.08%,0.37%,0.26%,0.14%,0.47%
California,Region 5R (San Francisco),*,*,*,*,*,*,*,*,*,0.28%,0.15%,0.53%
California,Region 6 (Santa Clara),*,*,*,*,*,*,0.10%,0.05%,0.23%,0.14%,0.07%,0.26%
California,Region 7R (Contra Costa),*,*,*,*,*,*,*,*,*,0.21%,0.12%,0.38%
California,Region 8R (Alameda),*,*,*,*,*,*,0.19%,0.09%,0.41%,0.22%,0.12%,0.41%
California,Region 9R (San Mateo),*,*,*,*,*,*,*,*,*,*,*,*
California,Region 10,*,*,*,*,*,*,*,*,*,0.24%,0.13%,0.44%
California,Region 11 (Los Angeles),0.07%,0.03%,0.16%,0.36%,0.22%,0.57%,0.23%,0.13%,0.40%,0.25%,0.15%,0.40%
California,LA SPA 1 and 5,*,*,*,*,*,*,*,*,*,0.23%,0.12%,0.45%
California,LA SPA 2,*,*,*,0.51%,0.27%,0.94%,0.22%,0.11%,0.45%,0.26%,0.14%,0.47%
California,LA SPA 3,*,*,*,*,*,*,0.17%,0.08%,0.36%,0.20%,0.11%,0.38%
California,LA SPA 4,*,*,*,*,*,*,*,*,*,0.27%,0.14%,0.50%
California,LA SPA 6,*,*,*,*,*,*,0.36%,0.17%,0.80%,0.33%,0.16%,0.66%
California,LA SPA 7,*,*,*,*,*,*,*,*,*,0.22%,0.12%,0.43%
California,LA SPA 8,*,*,*,*,*,*,0.25%,0.12%,0.51%,0.26%,0.14%,0.49%
California,Region 12R,*,*,*,*,*,*,*,*,*,*,*,*
California,Regions 13 and 19R,*,*,*,0.36%,0.19%,0.69%,0.14%,0.07%,0.29%,0.18%,0.10%,0.32%
California,Region 14 (Orange),*,*,*,0.46%,0.23%,0.89%,0.17%,0.08%,0.36%,0.21%,0.11%,0.40%
California,Region 15R (Fresno),*,*,*,*,*,*,*,*,*,0.22%,0.12%,0.41%
California,Region 16R (San Diego),*,*,*,0.44%,0.23%,0.84%,0.18%,0.09%,0.35%,0.22%,0.12%,0.39%
California,Region 17R,*,*,*,0.30%,0.16%,0.58%,0.20%,0.10%,0.40%,0.21%,0.12%,0.39%
California,Region 18R (San Bernardino),*,*,*,0.34%,0.18%,0.67%,0.15%,0.07%,0.32%,0.19%,0.10%,0.34%
California,Region 20R,*,*,*,*,*,*,*,*,*,0.20%,0.11%,0.38%
California,Region 21R,*,*,*,*,*,*,*,*,*,0.27%,0.15%,0.49%
Colorado,Colorado,0.09%,0.04%,0.18%,0.72%,0.40%,1.28%,0.30%,0.16%,0.58%,0.36%,0.20%,0.65%
Colorado,Region 1,*,*,*,0.87%,0.41%,1.83%,0.30%,0.14%,0.68%,0.39%,0.19%,0.79%
Colorado,Region 2,*,*,*,*,*,*,*,*,*,*,*,*
Colorado,Region 3,*,*,*,0.60%,0.29%,1.21%,0.23%,0.10%,0.50%,0.28%,0.14%,0.56%
Colorado,Region 4,*,*,*,*,*,*,*,*,*,*,*,*
Colorado,Region 5,*,*,*,*,*,*,0.47%,0.21%,1.07%,0.46%,0.21%,1.00%
Colorado,Region 6,*,*,*,0.85%,0.41%,1.76%,0.29%,0.13%,0.63%,0.37%,0.19%,0.73%
